text,label
"Человек грусть, чёрная челка, эмоции",emo
"Человек чёрная челка, эмоции, фиолетовые пряди",emo
"Человек фиолетовые пряди, дневник боли, дневник боли",emo
"Человек паника, грусть, паника",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек эмоции, дневник боли, фиолетовые пряди",emo
"Человек дневник боли, грусть, эмоции",emo
"Человек эмоции, чёрная челка, грусть",emo
"Человек фиолетовые пряди, эмоции, эмоции",emo
"Человек чёрная челка, паника, фиолетовые пряди",emo
"Человек дневник боли, грусть, эмоции",emo
"Человек эмоции, дневник боли, фиолетовые пряди",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек дневник боли, чёрная челка, паника",emo
"Человек грусть, эмоции, фиолетовые пряди",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек фиолетовые пряди, грусть, чёрная челка",emo
"Человек дневник боли, чёрная челка, паника",emo
"Человек эмоции, грусть, дневник боли",emo
"Человек грусть, грусть, чёрная челка",emo
"Человек эмоции, паника, фиолетовые пряди",emo
"Человек фиолетовые пряди, грусть, эмоции",emo
"Человек дневник боли, чёрная челка, эмоции",emo
"Человек эмоции, чёрная челка, грусть",emo
"Человек эмоции, фиолетовые пряди, чёрная челка",emo
"Человек дневник боли, паника, грусть",emo
"Человек чёрная челка, паника, паника",emo
"Человек дневник боли, эмоции, дневник боли",emo
"Человек эмоции, эмоции, чёрная челка",emo
"Человек чёрная челка, грусть, эмоции",emo
"Человек паника, фиолетовые пряди, грусть",emo
"Человек чёрная челка, дневник боли, грусть",emo
"Человек грусть, грусть, грусть",emo
"Человек фиолетовые пряди, дневник боли, дневник боли",emo
"Человек дневник боли, эмоции, паника",emo
"Человек дневник боли, грусть, грусть",emo
"Человек дневник боли, дневник боли, грусть",emo
"Человек эмоции, чёрная челка, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, дневник боли",emo
"Человек дневник боли, чёрная челка, грусть",emo
"Человек дневник боли, грусть, грусть",emo
"Человек фиолетовые пряди, грусть, чёрная челка",emo
"Человек эмоции, эмоции, паника",emo
"Человек дневник боли, чёрная челка, грусть",emo
"Человек эмоции, чёрная челка, эмоции",emo
"Человек грусть, эмоции, дневник боли",emo
"Человек дневник боли, паника, паника",emo
"Человек эмоции, чёрная челка, дневник боли",emo
"Человек чёрная челка, чёрная челка, эмоции",emo
"Человек чёрная челка, дневник боли, грусть",emo
"Человек паника, грусть, чёрная челка",emo
"Человек грусть, дневник боли, дневник боли",emo
"Человек чёрная челка, эмоции, грусть",emo
"Человек эмоции, эмоции, фиолетовые пряди",emo
"Человек чёрная челка, паника, дневник боли",emo
"Человек дневник боли, чёрная челка, паника",emo
"Человек дневник боли, чёрная челка, дневник боли",emo
"Человек эмоции, грусть, грусть",emo
"Человек дневник боли, фиолетовые пряди, паника",emo
"Человек паника, паника, эмоции",emo
"Человек паника, грусть, эмоции",emo
"Человек чёрная челка, паника, паника",emo
"Человек чёрная челка, паника, чёрная челка",emo
"Человек эмоции, грусть, чёрная челка",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек эмоции, дневник боли, эмоции",emo
"Человек дневник боли, чёрная челка, грусть",emo
"Человек фиолетовые пряди, эмоции, паника",emo
"Человек дневник боли, паника, грусть",emo
"Человек дневник боли, эмоции, чёрная челка",emo
"Человек паника, грусть, эмоции",emo
"Человек эмоции, эмоции, эмоции",emo
"Человек дневник боли, эмоции, паника",emo
"Человек грусть, дневник боли, эмоции",emo
"Человек фиолетовые пряди, фиолетовые пряди, грусть",emo
"Человек чёрная челка, чёрная челка, дневник боли",emo
"Человек дневник боли, дневник боли, чёрная челка",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек эмоции, дневник боли, фиолетовые пряди",emo
"Человек грусть, грусть, эмоции",emo
"Человек фиолетовые пряди, чёрная челка, чёрная челка",emo
"Человек паника, паника, чёрная челка",emo
"Человек грусть, дневник боли, грусть",emo
"Человек паника, эмоции, чёрная челка",emo
"Человек паника, паника, дневник боли",emo
"Человек чёрная челка, дневник боли, чёрная челка",emo
"Человек дневник боли, грусть, эмоции",emo
"Человек эмоции, чёрная челка, фиолетовые пряди",emo
"Человек паника, паника, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, грусть",emo
"Человек дневник боли, дневник боли, чёрная челка",emo
"Человек чёрная челка, паника, чёрная челка",emo
"Человек чёрная челка, чёрная челка, паника",emo
"Человек грусть, грусть, чёрная челка",emo
"Человек паника, грусть, дневник боли",emo
"Человек грусть, грусть, паника",emo
"Человек дневник боли, паника, чёрная челка",emo
"Человек эмоции, грусть, эмоции",emo
"Человек паника, паника, паника",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, паника, чёрная челка",emo
"Человек грусть, дневник боли, дневник боли",emo
"Человек паника, чёрная челка, эмоции",emo
"Человек фиолетовые пряди, фиолетовые пряди, фиолетовые пряди",emo
"Человек эмоции, дневник боли, чёрная челка",emo
"Человек эмоции, фиолетовые пряди, паника",emo
"Человек грусть, эмоции, эмоции",emo
"Человек чёрная челка, чёрная челка, эмоции",emo
"Человек фиолетовые пряди, грусть, чёрная челка",emo
"Человек фиолетовые пряди, паника, чёрная челка",emo
"Человек фиолетовые пряди, фиолетовые пряди, грусть",emo
"Человек грусть, паника, фиолетовые пряди",emo
"Человек дневник боли, фиолетовые пряди, грусть",emo
"Человек дневник боли, чёрная челка, чёрная челка",emo
"Человек эмоции, грусть, эмоции",emo
"Человек дневник боли, грусть, паника",emo
"Человек фиолетовые пряди, паника, дневник боли",emo
"Человек грусть, дневник боли, фиолетовые пряди",emo
"Человек чёрная челка, чёрная челка, дневник боли",emo
"Человек эмоции, грусть, грусть",emo
"Человек чёрная челка, паника, фиолетовые пряди",emo
"Человек паника, паника, дневник боли",emo
"Человек чёрная челка, чёрная челка, чёрная челка",emo
"Человек дневник боли, эмоции, паника",emo
"Человек дневник боли, грусть, фиолетовые пряди",emo
"Человек эмоции, грусть, паника",emo
"Человек чёрная челка, паника, дневник боли",emo
"Человек фиолетовые пряди, дневник боли, эмоции",emo
"Человек эмоции, фиолетовые пряди, грусть",emo
"Человек грусть, эмоции, эмоции",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек грусть, чёрная челка, дневник боли",emo
"Человек эмоции, эмоции, чёрная челка",emo
"Человек фиолетовые пряди, эмоции, паника",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек чёрная челка, эмоции, грусть",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, эмоции, грусть",emo
"Человек грусть, грусть, дневник боли",emo
"Человек грусть, чёрная челка, чёрная челка",emo
"Человек дневник боли, паника, фиолетовые пряди",emo
"Человек эмоции, эмоции, дневник боли",emo
"Человек чёрная челка, эмоции, чёрная челка",emo
"Человек паника, фиолетовые пряди, паника",emo
"Человек дневник боли, грусть, грусть",emo
"Человек грусть, паника, эмоции",emo
"Человек фиолетовые пряди, грусть, дневник боли",emo
"Человек дневник боли, грусть, грусть",emo
"Человек фиолетовые пряди, грусть, фиолетовые пряди",emo
"Человек дневник боли, грусть, паника",emo
"Человек паника, дневник боли, фиолетовые пряди",emo
"Человек паника, фиолетовые пряди, паника",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек паника, грусть, дневник боли",emo
"Человек эмоции, фиолетовые пряди, эмоции",emo
"Человек чёрная челка, чёрная челка, паника",emo
"Человек паника, грусть, дневник боли",emo
"Человек эмоции, чёрная челка, паника",emo
"Человек дневник боли, эмоции, паника",emo
"Человек паника, чёрная челка, чёрная челка",emo
"Человек паника, фиолетовые пряди, паника",emo
"Человек дневник боли, паника, грусть",emo
"Человек грусть, грусть, фиолетовые пряди",emo
"Человек фиолетовые пряди, паника, грусть",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек дневник боли, эмоции, паника",emo
"Человек эмоции, грусть, эмоции",emo
"Человек грусть, чёрная челка, эмоции",emo
"Человек паника, грусть, паника",emo
"Человек фиолетовые пряди, грусть, эмоции",emo
"Человек грусть, паника, чёрная челка",emo
"Человек грусть, эмоции, фиолетовые пряди",emo
"Человек дневник боли, чёрная челка, фиолетовые пряди",emo
"Человек грусть, паника, паника",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек паника, эмоции, дневник боли",emo
"Человек грусть, грусть, паника",emo
"Человек фиолетовые пряди, грусть, дневник боли",emo
"Человек паника, эмоции, дневник боли",emo
"Человек паника, дневник боли, грусть",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек эмоции, чёрная челка, дневник боли",emo
"Человек фиолетовые пряди, эмоции, дневник боли",emo
"Человек чёрная челка, грусть, грусть",emo
"Человек фиолетовые пряди, эмоции, эмоции",emo
"Человек эмоции, дневник боли, фиолетовые пряди",emo
"Человек эмоции, дневник боли, грусть",emo
"Человек чёрная челка, дневник боли, грусть",emo
"Человек грусть, чёрная челка, грусть",emo
"Человек фиолетовые пряди, чёрная челка, грусть",emo
"Человек паника, дневник боли, грусть",emo
"Человек фиолетовые пряди, эмоции, грусть",emo
"Человек эмоции, паника, грусть",emo
"Человек чёрная челка, эмоции, паника",emo
"Человек чёрная челка, чёрная челка, чёрная челка",emo
"Человек чёрная челка, грусть, дневник боли",emo
"Человек грусть, грусть, паника",emo
"Человек паника, дневник боли, паника",emo
"Человек фиолетовые пряди, дневник боли, паника",emo
"Человек дневник боли, грусть, грусть",emo
"Человек дневник боли, фиолетовые пряди, фиолетовые пряди",emo
"Человек дневник боли, паника, эмоции",emo
"Человек фиолетовые пряди, чёрная челка, грусть",emo
"Человек дневник боли, чёрная челка, дневник боли",emo
"Человек грусть, грусть, фиолетовые пряди",emo
"Человек фиолетовые пряди, чёрная челка, дневник боли",emo
"Человек грусть, чёрная челка, эмоции",emo
"Человек чёрная челка, паника, чёрная челка",emo
"Человек паника, паника, паника",emo
"Человек эмоции, чёрная челка, чёрная челка",emo
"Человек эмоции, грусть, фиолетовые пряди",emo
"Человек чёрная челка, фиолетовые пряди, дневник боли",emo
"Человек дневник боли, эмоции, дневник боли",emo
"Человек дневник боли, грусть, грусть",emo
"Человек грусть, дневник боли, эмоции",emo
"Человек паника, паника, фиолетовые пряди",emo
"Человек паника, паника, грусть",emo
"Человек грусть, дневник боли, фиолетовые пряди",emo
"Человек чёрная челка, фиолетовые пряди, фиолетовые пряди",emo
"Человек эмоции, дневник боли, эмоции",emo
"Человек фиолетовые пряди, фиолетовые пряди, фиолетовые пряди",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек грусть, дневник боли, дневник боли",emo
"Человек грусть, дневник боли, паника",emo
"Человек паника, чёрная челка, чёрная челка",emo
"Человек чёрная челка, дневник боли, паника",emo
"Человек паника, паника, грусть",emo
"Человек паника, грусть, чёрная челка",emo
"Человек чёрная челка, дневник боли, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, фиолетовые пряди",emo
"Человек эмоции, дневник боли, эмоции",emo
"Человек эмоции, фиолетовые пряди, дневник боли",emo
"Человек фиолетовые пряди, эмоции, дневник боли",emo
"Человек эмоции, паника, дневник боли",emo
"Человек дневник боли, эмоции, паника",emo
"Человек грусть, фиолетовые пряди, эмоции",emo
"Человек дневник боли, фиолетовые пряди, фиолетовые пряди",emo
"Человек фиолетовые пряди, грусть, чёрная челка",emo
"Человек эмоции, чёрная челка, чёрная челка",emo
"Человек чёрная челка, фиолетовые пряди, паника",emo
"Человек фиолетовые пряди, фиолетовые пряди, дневник боли",emo
"Человек дневник боли, чёрная челка, фиолетовые пряди",emo
"Человек чёрная челка, дневник боли, паника",emo
"Человек эмоции, чёрная челка, паника",emo
"Человек эмоции, грусть, чёрная челка",emo
"Человек чёрная челка, грусть, грусть",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек эмоции, эмоции, эмоции",emo
"Человек фиолетовые пряди, грусть, паника",emo
"Человек грусть, чёрная челка, дневник боли",emo
"Человек эмоции, грусть, паника",emo
"Человек чёрная челка, фиолетовые пряди, фиолетовые пряди",emo
"Человек паника, чёрная челка, эмоции",emo
"Человек грусть, чёрная челка, фиолетовые пряди",emo
"Человек паника, паника, грусть",emo
"Человек паника, паника, чёрная челка",emo
"Человек эмоции, грусть, чёрная челка",emo
"Человек эмоции, чёрная челка, дневник боли",emo
"Человек чёрная челка, паника, эмоции",emo
"Человек грусть, грусть, эмоции",emo
"Человек паника, фиолетовые пряди, чёрная челка",emo
"Человек паника, дневник боли, эмоции",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек дневник боли, грусть, эмоции",emo
"Человек чёрная челка, эмоции, чёрная челка",emo
"Человек паника, фиолетовые пряди, паника",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек чёрная челка, чёрная челка, дневник боли",emo
"Человек грусть, дневник боли, дневник боли",emo
"Человек чёрная челка, эмоции, паника",emo
"Человек паника, паника, фиолетовые пряди",emo
"Человек чёрная челка, эмоции, фиолетовые пряди",emo
"Человек грусть, эмоции, дневник боли",emo
"Человек эмоции, эмоции, паника",emo
"Человек эмоции, дневник боли, дневник боли",emo
"Человек чёрная челка, эмоции, паника",emo
"Человек эмоции, грусть, грусть",emo
"Человек паника, чёрная челка, чёрная челка",emo
"Человек дневник боли, дневник боли, фиолетовые пряди",emo
"Человек паника, эмоции, паника",emo
"Человек фиолетовые пряди, дневник боли, паника",emo
"Человек паника, дневник боли, фиолетовые пряди",emo
"Человек дневник боли, чёрная челка, эмоции",emo
"Человек дневник боли, фиолетовые пряди, грусть",emo
"Человек чёрная челка, грусть, дневник боли",emo
"Человек чёрная челка, эмоции, дневник боли",emo
"Человек эмоции, паника, грусть",emo
"Человек чёрная челка, эмоции, фиолетовые пряди",emo
"Человек эмоции, фиолетовые пряди, дневник боли",emo
"Человек чёрная челка, эмоции, эмоции",emo
"Человек чёрная челка, эмоции, фиолетовые пряди",emo
"Человек эмоции, грусть, дневник боли",emo
"Человек паника, фиолетовые пряди, грусть",emo
"Человек дневник боли, чёрная челка, фиолетовые пряди",emo
"Человек паника, дневник боли, паника",emo
"Человек чёрная челка, чёрная челка, фиолетовые пряди",emo
"Человек эмоции, чёрная челка, дневник боли",emo
"Человек эмоции, грусть, паника",emo
"Человек эмоции, паника, эмоции",emo
"Человек грусть, чёрная челка, грусть",emo
"Человек чёрная челка, чёрная челка, паника",emo
"Человек дневник боли, грусть, эмоции",emo
"Человек грусть, паника, чёрная челка",emo
"Человек паника, фиолетовые пряди, фиолетовые пряди",emo
"Человек эмоции, паника, эмоции",emo
"Человек эмоции, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек эмоции, фиолетовые пряди, грусть",emo
"Человек эмоции, дневник боли, чёрная челка",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек эмоции, фиолетовые пряди, чёрная челка",emo
"Человек фиолетовые пряди, чёрная челка, фиолетовые пряди",emo
"Человек грусть, паника, грусть",emo
"Человек грусть, паника, паника",emo
"Человек эмоции, эмоции, грусть",emo
"Человек грусть, чёрная челка, чёрная челка",emo
"Человек эмоции, дневник боли, дневник боли",emo
"Человек эмоции, чёрная челка, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, фиолетовые пряди",emo
"Человек чёрная челка, фиолетовые пряди, паника",emo
"Человек эмоции, эмоции, чёрная челка",emo
"Человек грусть, дневник боли, чёрная челка",emo
"Человек фиолетовые пряди, дневник боли, грусть",emo
"Человек фиолетовые пряди, паника, фиолетовые пряди",emo
"Человек паника, дневник боли, паника",emo
"Человек дневник боли, дневник боли, дневник боли",emo
"Человек дневник боли, дневник боли, фиолетовые пряди",emo
"Человек дневник боли, фиолетовые пряди, дневник боли",emo
"Человек паника, дневник боли, грусть",emo
"Человек дневник боли, дневник боли, паника",emo
"Человек эмоции, паника, грусть",emo
"Человек эмоции, чёрная челка, чёрная челка",emo
"Человек грусть, паника, фиолетовые пряди",emo
"Человек грусть, эмоции, эмоции",emo
"Человек дневник боли, чёрная челка, эмоции",emo
"Человек грусть, эмоции, грусть",emo
"Человек фиолетовые пряди, дневник боли, чёрная челка",emo
"Человек эмоции, грусть, паника",emo
"Человек чёрная челка, фиолетовые пряди, грусть",emo
"Человек дневник боли, дневник боли, фиолетовые пряди",emo
"Человек фиолетовые пряди, дневник боли, эмоции",emo
"Человек эмоции, грусть, паника",emo
"Человек грусть, паника, фиолетовые пряди",emo
"Человек чёрная челка, грусть, грусть",emo
"Человек паника, фиолетовые пряди, фиолетовые пряди",emo
"Человек паника, фиолетовые пряди, дневник боли",emo
"Человек эмоции, дневник боли, чёрная челка",emo
"Человек грусть, чёрная челка, грусть",emo
"Человек эмоции, фиолетовые пряди, дневник боли",emo
"Человек паника, дневник боли, эмоции",emo
"Человек чёрная челка, паника, фиолетовые пряди",emo
"Человек эмоции, паника, эмоции",emo
"Человек эмоции, фиолетовые пряди, грусть",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, грусть, дневник боли",emo
"Человек паника, грусть, чёрная челка",emo
"Человек паника, грусть, эмоции",emo
"Человек паника, паника, фиолетовые пряди",emo
"Человек эмоции, чёрная челка, дневник боли",emo
"Человек грусть, фиолетовые пряди, грусть",emo
"Человек чёрная челка, чёрная челка, паника",emo
"Человек чёрная челка, грусть, эмоции",emo
"Человек эмоции, паника, дневник боли",emo
"Человек грусть, грусть, чёрная челка",emo
"Человек грусть, фиолетовые пряди, дневник боли",emo
"Человек чёрная челка, фиолетовые пряди, паника",emo
"Человек эмоции, паника, эмоции",emo
"Человек паника, грусть, фиолетовые пряди",emo
"Человек эмоции, чёрная челка, фиолетовые пряди",emo
"Человек чёрная челка, фиолетовые пряди, фиолетовые пряди",emo
"Человек паника, эмоции, эмоции",emo
"Человек фиолетовые пряди, грусть, грусть",emo
"Человек чёрная челка, чёрная челка, паника",emo
"Человек фиолетовые пряди, чёрная челка, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, паника",emo
"Человек чёрная челка, паника, эмоции",emo
"Человек паника, грусть, грусть",emo
"Человек паника, грусть, эмоции",emo
"Человек фиолетовые пряди, грусть, грусть",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек паника, паника, дневник боли",emo
"Человек эмоции, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, эмоции, паника",emo
"Человек паника, чёрная челка, грусть",emo
"Человек дневник боли, эмоции, дневник боли",emo
"Человек чёрная челка, грусть, эмоции",emo
"Человек фиолетовые пряди, грусть, паника",emo
"Человек чёрная челка, грусть, грусть",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек грусть, фиолетовые пряди, чёрная челка",emo
"Человек чёрная челка, паника, эмоции",emo
"Человек паника, паника, дневник боли",emo
"Человек паника, дневник боли, чёрная челка",emo
"Человек чёрная челка, паника, чёрная челка",emo
"Человек эмоции, дневник боли, дневник боли",emo
"Человек паника, чёрная челка, фиолетовые пряди",emo
"Человек дневник боли, паника, паника",emo
"Человек эмоции, грусть, грусть",emo
"Человек дневник боли, эмоции, эмоции",emo
"Человек эмоции, дневник боли, грусть",emo
"Человек эмоции, чёрная челка, паника",emo
"Человек паника, фиолетовые пряди, фиолетовые пряди",emo
"Человек дневник боли, дневник боли, паника",emo
"Человек чёрная челка, грусть, грусть",emo
"Человек дневник боли, чёрная челка, дневник боли",emo
"Человек грусть, дневник боли, эмоции",emo
"Человек дневник боли, паника, дневник боли",emo
"Человек паника, чёрная челка, грусть",emo
"Человек фиолетовые пряди, фиолетовые пряди, грусть",emo
"Человек фиолетовые пряди, дневник боли, чёрная челка",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек дневник боли, чёрная челка, чёрная челка",emo
"Человек эмоции, эмоции, чёрная челка",emo
"Человек грусть, паника, паника",emo
"Человек дневник боли, чёрная челка, чёрная челка",emo
"Человек чёрная челка, грусть, эмоции",emo
"Человек чёрная челка, чёрная челка, фиолетовые пряди",emo
"Человек грусть, дневник боли, чёрная челка",emo
"Человек фиолетовые пряди, паника, дневник боли",emo
"Человек чёрная челка, чёрная челка, фиолетовые пряди",emo
"Человек грусть, чёрная челка, паника",emo
"Человек чёрная челка, паника, дневник боли",emo
"Человек дневник боли, эмоции, эмоции",emo
"Человек паника, грусть, чёрная челка",emo
"Человек чёрная челка, эмоции, паника",emo
"Человек чёрная челка, чёрная челка, грусть",emo
"Человек фиолетовые пряди, эмоции, эмоции",emo
"Человек фиолетовые пряди, чёрная челка, грусть",emo
"Человек грусть, эмоции, грусть",emo
"Человек дневник боли, фиолетовые пряди, чёрная челка",emo
"Человек дневник боли, фиолетовые пряди, паника",emo
"Человек эмоции, грусть, паника",emo
"Человек грусть, дневник боли, чёрная челка",emo
"Человек чёрная челка, чёрная челка, грусть",emo
"Человек паника, чёрная челка, паника",emo
"Человек грусть, дневник боли, паника",emo
"Человек дневник боли, грусть, грусть",emo
"Человек эмоции, грусть, грусть",emo
"Человек фиолетовые пряди, чёрная челка, эмоции",emo
"Человек эмоции, эмоции, фиолетовые пряди",emo
"Человек дневник боли, грусть, чёрная челка",emo
"Человек паника, дневник боли, грусть",emo
"Человек фиолетовые пряди, грусть, грусть",emo
"Человек фиолетовые пряди, эмоции, эмоции",emo
"Человек чёрная челка, чёрная челка, эмоции",emo
"Человек дневник боли, паника, грусть",emo
"Человек паника, грусть, эмоции",emo
"Человек чёрная челка, дневник боли, чёрная челка",emo
"Человек паника, чёрная челка, эмоции",emo
"Человек дневник боли, паника, дневник боли",emo
"Человек грусть, чёрная челка, дневник боли",emo
"Человек фиолетовые пряди, чёрная челка, грусть",emo
"Человек дневник боли, паника, грусть",emo
"Человек фиолетовые пряди, дневник боли, эмоции",emo
"Человек чёрная челка, паника, эмоции",emo
"Человек дневник боли, дневник боли, грусть",emo
"Человек дневник боли, паника, эмоции",emo
"Человек паника, фиолетовые пряди, фиолетовые пряди",emo
"Человек чёрная челка, чёрная челка, фиолетовые пряди",emo
"Человек дневник боли, паника, фиолетовые пряди",emo
"Человек чёрная челка, фиолетовые пряди, дневник боли",emo
"Человек фиолетовые пряди, паника, эмоции",emo
"Человек дневник боли, чёрная челка, паника",emo
"Человек фиолетовые пряди, фиолетовые пряди, эмоции",emo
"Человек чёрная челка, чёрная челка, грусть",emo
"Человек чёрная челка, эмоции, грусть",emo
"Человек грусть, фиолетовые пряди, фиолетовые пряди",emo
"Человек чёрная челка, грусть, фиолетовые пряди",emo
"Человек эмоции, фиолетовые пряди, дневник боли",emo
"Человек дневник боли, фиолетовые пряди, грусть",emo
"Человек грусть, паника, дневник боли",emo
"Человек эмоции, грусть, чёрная челка",emo
"Человек дневник боли, эмоции, эмоции",emo
"Человек грусть, эмоции, грусть",emo
"Человек фиолетовые пряди, дневник боли, паника",emo
"Человек фиолетовые пряди, дневник боли, грусть",emo
"Человек дневник боли, грусть, фиолетовые пряди",emo
"Человек чёрная челка, чёрная челка, дневник боли",emo
"Человек чёрная челка, грусть, эмоции",emo
"Человек грусть, эмоции, фиолетовые пряди",emo
"Человек паника, эмоции, чёрная челка",emo
"Человек грусть, фиолетовые пряди, чёрная челка",emo
"Человек фиолетовые пряди, паника, грусть",emo
"Человек дневник боли, грусть, паника",emo
"Человек грусть, дневник боли, эмоции",emo
"Человек фиолетовые пряди, дневник боли, чёрная челка",emo
"Человек паника, эмоции, чёрная челка",emo
"Человек чёрная челка, паника, эмоции",emo
"Человек чёрная челка, чёрная челка, эмоции",emo
"Человек грусть, чёрная челка, фиолетовые пряди",emo
"Человек эмоции, чёрная челка, паника",emo
"Человек дневник боли, фиолетовые пряди, дневник боли",emo
"Человек дневник боли, чёрная челка, фиолетовые пряди",emo
"Человек фиолетовые пряди, грусть, дневник боли",emo
"Человек фиолетовые пряди, грусть, эмоции",emo
"Человек грусть, паника, чёрная челка",emo
"Человек эмоции, эмоции, паника",emo
"Человек грусть, чёрная челка, грусть",emo
"Человек фиолетовые пряди, грусть, эмоции",emo
"Человек чёрная челка, грусть, чёрная челка",emo
"Человек чёрная челка, фиолетовые пряди, фиолетовые пряди",emo
"Человек эмоции, паника, чёрная челка",emo
"Человек паника, эмоции, чёрная челка",emo
"Человек чёрная челка, дневник боли, паника",emo
"Человек грусть, фиолетовые пряди, грусть",emo
"Человек паника, фиолетовые пряди, грусть",emo
"Человек дневник боли, фиолетовые пряди, чёрная челка",emo
"Человек грусть, фиолетовые пряди, дневник боли",emo
"Человек фиолетовые пряди, фиолетовые пряди, дневник боли",emo
"Человек грусть, эмоции, грусть",emo
"Человек паника, дневник боли, грусть",emo
"Человек фиолетовые пряди, дневник боли, чёрная челка",emo
"Человек грусть, дневник боли, грусть",emo
"Человек дневник боли, фиолетовые пряди, чёрная челка",emo
"Человек чёрная челка, паника, дневник боли",emo
"Человек грусть, чёрная челка, чёрная челка",emo
"Человек эмоции, эмоции, чёрная челка",emo
"Человек дневник боли, паника, чёрная челка",emo
"Человек фиолетовые пряди, грусть, паника",emo
"Человек фиолетовые пряди, паника, фиолетовые пряди",emo
"Человек грусть, грусть, эмоции",emo
"Человек дневник боли, фиолетовые пряди, эмоции",emo
"Человек фиолетовые пряди, эмоции, грусть",emo
"Человек паника, эмоции, фиолетовые пряди",emo
"Человек фиолетовые пряди, дневник боли, грусть",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек эмоции, дневник боли, паника",emo
"Человек грусть, дневник боли, эмоции",emo
"Человек эмоции, чёрная челка, грусть",emo
"Человек дневник боли, дневник боли, фиолетовые пряди",emo
"Человек чёрная челка, чёрная челка, дневник боли",emo
"Человек дневник боли, паника, паника",emo
"Человек паника, чёрная челка, фиолетовые пряди",emo
"Человек эмоции, паника, фиолетовые пряди",emo
"Человек грусть, паника, эмоции",emo
"Человек грусть, грусть, эмоции",emo
"Человек паника, чёрная челка, эмоции",emo
"Человек эмоции, эмоции, грусть",emo
"Человек фиолетовые пряди, чёрная челка, паника",emo
"Человек паника, фиолетовые пряди, эмоции",emo
"Человек чёрная челка, паника, дневник боли",emo
"Человек паника, эмоции, дневник боли",emo
"Человек фиолетовые пряди, чёрная челка, фиолетовые пряди",emo
"Человек фиолетовые пряди, чёрная челка, чёрная челка",emo
"Человек паника, паника, чёрная челка",emo
"Человек дневник боли, грусть, паника",emo
"Человек грусть, дневник боли, чёрная челка",emo
"Человек дневник боли, паника, фиолетовые пряди",emo
"Человек чёрная челка, эмоции, грусть",emo
"Человек дневник боли, чёрная челка, дневник боли",emo
